account_id,customer_id,account_type,risk_profile,opening_date
2eb0443b-0f2c-4ec1-a031-c1850c82a002,ab5b931a-967a-46df-8759-f79575c5f767,Checking,Aggressive,2021-02-03
7136c0a7-c883-4e88-aeb0-c907d98d20e6,977334f8-5210-4c72-ab3d-e6099a2f4515,Checking,Low Risk,2020-12-28
0488cfa4-cca5-42bb-89b7-ce66f530fce3,977334f8-5210-4c72-ab3d-e6099a2f4515,Business,High Risk,2022-04-05
bd1699f2-a8b2-47d4-9f83-8b71c3c0b226,deb05c6f-15d4-43dc-8d94-db9f74b78cd1,Checking,Conservative,2022-06-09
a8006639-4e95-4b73-bf50-a0de0f1f80a6,deb05c6f-15d4-43dc-8d94-db9f74b78cd1,Business,High Risk,2020-12-24
a2185818-236a-413a-b918-81ed7616a455,1b0c8afc-773f-47be-a8c9-a06c7bb55e9d,Joint,Balanced,2021-12-25
20f8b332-3912-497f-8c23-085acd358f29,1b0c8afc-773f-47be-a8c9-a06c7bb55e9d,Retirement,Balanced,2020-05-31
287ec1e2-a0e0-44e7-b6d5-16ac87cca789,1b0c8afc-773f-47be-a8c9-a06c7bb55e9d,Checking,Low Risk,2020-10-13
8f859e19-1063-4f16-be60-5025420e03fd,bc7ee260-69f5-4715-a629-1ccc2adbcdf1,Checking,Medium Risk,2024-10-22
b99e612b-faef-4d82-8f37-3a67a5ab7bbe,d9f63457-0dd8-4801-a416-03f82bcf914f,Joint,Aggressive,2021-12-28
30411a79-6747-4e43-8de3-2f7628187880,d9f63457-0dd8-4801-a416-03f82bcf914f,Business,Conservative,2023-10-07
283eb1e6-7ea7-478b-adeb-0ddc348e9fc6,d9f63457-0dd8-4801-a416-03f82bcf914f,Retirement,Low Risk,2020-02-06
043383bb-f1e4-4aa0-9dcd-d2b51f647a7f,c9504590-ddf2-492b-b29b-82b11ce93270,Checking,Medium Risk,2021-06-04
2e34d45f-cb93-4f1b-a62e-b8f0488979b2,e3698b60-93ba-4975-9c3c-511cf5e81f2c,Business,Low Risk,2022-09-23
377ef2d8-b6d3-4021-967e-de008ab5021f,6dfdedf7-2306-47ae-bf12-83717a10540b,Joint,High Risk,2020-10-23
cc933ee3-1f68-48b1-85de-250074c6fd29,6dfdedf7-2306-47ae-bf12-83717a10540b,Investment,Balanced,2022-05-07
026e08ec-3349-4a89-ba60-81ceb64aef74,6dfdedf7-2306-47ae-bf12-83717a10540b,Joint,Aggressive,2021-07-28
77bfc754-40b3-48d1-825d-0e55475d1c3d,4b905c27-0e32-437a-a9bf-e3101d94cdba,Checking,Low Risk,2020-09-05
d2775bdc-6394-4c2f-b469-d8204bbe0092,4b905c27-0e32-437a-a9bf-e3101d94cdba,Checking,Low Risk,2024-02-13
44da6904-718a-487f-ae81-f0fa3deddae5,4b905c27-0e32-437a-a9bf-e3101d94cdba,Business,Medium Risk,2022-01-10
c54b63e1-6a8a-4b68-b229-b15bb888b878,92d866df-9e85-48a9-ab86-1a60f011696a,Investment,Aggressive,2023-09-13
04a02441-0a40-4172-a6d2-a358b65a2d5e,cb9f5d4e-c7dd-4ef1-a29b-669833c08c8c,Investment,Conservative,2024-09-12
cdab9cf2-23dd-4291-8f5c-12fb39792363,cb9f5d4e-c7dd-4ef1-a29b-669833c08c8c,Joint,Low Risk,2022-02-20
ca16f71f-ccb0-4c0b-9597-f02ab64d2b6b,754f9519-75ae-4eaa-81cf-cd98b58580ee,Savings,Balanced,2020-04-28
d8ca751e-d454-4835-9ef6-035b4766774d,754f9519-75ae-4eaa-81cf-cd98b58580ee,Investment,Balanced,2020-08-05
561ce801-b2c2-4ae4-a645-dfcbb0ffb0ac,1cb38768-960e-4152-8838-1b4f77c428ca,Investment,Conservative,2022-11-28
a8fcd0b5-be94-4b5e-ad37-43d69de3e149,19346bd1-786f-4a39-88cf-77b8d633add1,Retirement,High Risk,2021-09-04
e932ab1c-b292-43b5-9e87-de057495330d,b5db342e-223b-4424-bce1-e554cbc35025,Investment,Medium Risk,2022-12-29
94a39b15-ee25-4812-83e3-e18da7dd2d83,b5db342e-223b-4424-bce1-e554cbc35025,Retirement,Medium Risk,2022-12-24
e76ab791-b70e-45d6-85a5-7b7bb6dc84a7,0542628e-999b-4730-9a86-d8b664b561a6,Retirement,Aggressive,2022-09-24
20a2fee1-915a-4f56-851a-909f2c0485e9,b49cfe1e-274b-424a-b216-f33c0560758c,Business,Balanced,2023-08-11
3fa2eb82-12bd-4eef-94e9-c2ecc79d7eba,86131572-62cb-45cb-a17d-46e1fa995013,Business,Aggressive,2022-12-10
aa289e94-2f2f-405c-9893-32ed06bd4742,6941723b-72cd-4084-bc3a-b063fc20f347,Checking,Conservative,2022-03-06
915098a2-d939-4b6e-b153-aa7cc1c166b0,6941723b-72cd-4084-bc3a-b063fc20f347,Joint,High Risk,2021-03-03
13d61d72-c169-493a-994c-66b53da64023,adcd450e-e453-45b3-8c2e-46acddd49152,Joint,Medium Risk,2023-04-01
f20cbcb5-4b66-4931-8bb9-59fcdcdbaa5f,48c1adf3-fc46-4c66-8770-8b20d0d06c4a,Investment,Conservative,2023-04-25
