investment_id,account_id,investment_type,investment_amount,market_sector,interest_rate,return_percentage
1f2d0d8f-fd1a-430d-bd5a-341cec4f2ed7,2eb0443b-0f2c-4ec1-a031-c1850c82a002,Cryptocurrency,36878.19,Healthcare,3.49,11.69
54d21f1c-898d-4753-8fcb-aadfef67f26b,2eb0443b-0f2c-4ec1-a031-c1850c82a002,Stocks,24344.16,Manufacturing,4.84,-2.77
e5e42d6c-6aea-4b0c-b906-116e27d0c06a,7136c0a7-c883-4e88-aeb0-c907d98d20e6,Commodities,23346.19,Energy,10.9,3.06
3d8ce34f-ad29-47e2-a5e5-5cbcb88e13fd,7136c0a7-c883-4e88-aeb0-c907d98d20e6,Commodities,45917.79,Energy,8.33,5.15
85d5e6b4-b849-463b-9741-e35fa06c38c1,7136c0a7-c883-4e88-aeb0-c907d98d20e6,Cryptocurrency,25827.39,Energy,12.58,13.35
dd4bf33a-e93c-4c5f-8963-ad40e4af9131,0488cfa4-cca5-42bb-89b7-ce66f530fce3,Bonds,28273.9,Healthcare,8.79,14.12
cb6afb67-9891-4b0a-a5d3-d2bfd45aacc6,bd1699f2-a8b2-47d4-9f83-8b71c3c0b226,Stocks,37384.99,Retail,12.68,9.37
bf4ad2f0-e5de-4844-8522-30a2593a7888,a8006639-4e95-4b73-bf50-a0de0f1f80a6,Bonds,46767.02,Manufacturing,12.73,8.99
e577215c-c7fc-4717-bdbb-d9b39115099b,a8006639-4e95-4b73-bf50-a0de0f1f80a6,Cryptocurrency,8584.05,Healthcare,6.06,-6.85
f219be63-6193-4d50-896d-646cadbf3974,287ec1e2-a0e0-44e7-b6d5-16ac87cca789,Commodities,49197.64,Manufacturing,1.06,-0.89
9fec4ebf-69ee-4dce-a2f7-b8ce33f9d9bf,283eb1e6-7ea7-478b-adeb-0ddc348e9fc6,Government Bonds,37756.71,Manufacturing,0.65,3.61
4a560755-c3af-4b22-9cfb-6bdb07e78b6d,2e34d45f-cb93-4f1b-a62e-b8f0488979b2,Cryptocurrency,353.13,Retail,14.85,11.48
b2b75bbd-5e7e-47f5-94a8-455294901c36,377ef2d8-b6d3-4021-967e-de008ab5021f,ETFs,3178.96,Manufacturing,11.39,0.06
831210f0-02a3-4218-8fa9-6a16c62091b9,377ef2d8-b6d3-4021-967e-de008ab5021f,ETFs,12418.04,Manufacturing,12.3,12.2
a4cf6c04-0d3e-4c4b-9971-3ab2bd2325c8,377ef2d8-b6d3-4021-967e-de008ab5021f,ETFs,16802.59,Manufacturing,1.45,3.64
510d4c13-2d18-4b45-b8ed-65c4512ebebc,cc933ee3-1f68-48b1-85de-250074c6fd29,Commodities,12630.56,Technology,10.83,13.11
f41f23e6-e783-4338-acca-6ce0b361e639,cc933ee3-1f68-48b1-85de-250074c6fd29,ETFs,3292.73,Retail,8.73,18.49
f6f7f150-15de-4ed1-83b2-9f37148b61ed,cc933ee3-1f68-48b1-85de-250074c6fd29,Stocks,22883.93,Technology,11.79,16.68
2b0f2d7c-ce23-4b43-a15e-abec9d1ab181,026e08ec-3349-4a89-ba60-81ceb64aef74,Commodities,7548.61,Healthcare,3.53,-5.01
2e849dd3-8a35-443c-a9ad-84213ff28ede,026e08ec-3349-4a89-ba60-81ceb64aef74,ETFs,35932.56,Finance,2.29,4.51
b7c44674-8c95-44b6-a7b7-03f8aa409ac6,026e08ec-3349-4a89-ba60-81ceb64aef74,Real Estate Investment Trust,24849.35,Retail,13.52,-5.9
8041ead4-eca0-4ece-877d-275e9d9bb476,77bfc754-40b3-48d1-825d-0e55475d1c3d,Commodities,17588.02,Finance,5.88,19.97
aa8cf959-e071-4fa5-9fae-f0b7207372dc,77bfc754-40b3-48d1-825d-0e55475d1c3d,Government Bonds,29956.64,Manufacturing,7.06,16.36
015628e6-8c80-4903-9502-a8770c01d337,d2775bdc-6394-4c2f-b469-d8204bbe0092,Government Bonds,6315.04,Technology,12.03,7.13
bb7c0bfb-d34f-4846-8513-884f854fa792,d2775bdc-6394-4c2f-b469-d8204bbe0092,ETFs,41274.65,Energy,5.69,-5.79
bd7aa0ff-5fa0-403a-8330-c4159f2a73ba,44da6904-718a-487f-ae81-f0fa3deddae5,Commodities,35122.02,Finance,8.3,-7.31
03ea19be-6a5b-492f-8fc2-a7de63f71de2,44da6904-718a-487f-ae81-f0fa3deddae5,Commodities,36391.96,Manufacturing,13.22,2.23
21da1707-5a8b-4778-8e4f-17322ac9467c,c54b63e1-6a8a-4b68-b229-b15bb888b878,Bonds,22008.11,Healthcare,4.49,-2.51
618a2c3f-1009-401b-9ed6-a7b442a70795,c54b63e1-6a8a-4b68-b229-b15bb888b878,Government Bonds,2030.77,Finance,2.68,19.22
5c517015-69ae-4d71-bb5e-6b9ff821409c,04a02441-0a40-4172-a6d2-a358b65a2d5e,Government Bonds,9856.99,Technology,13.57,-2.86
7498dfce-783d-48f9-9407-f44f9fc03fac,04a02441-0a40-4172-a6d2-a358b65a2d5e,Real Estate Investment Trust,41594.96,Manufacturing,4.39,12.5
fabf4ba4-a3be-46f2-bcda-3d7ce8129655,04a02441-0a40-4172-a6d2-a358b65a2d5e,Mutual Funds,42763.38,Technology,14.86,14.49
dd182d90-3ca4-4b4f-ab99-29b3a0548746,cdab9cf2-23dd-4291-8f5c-12fb39792363,Government Bonds,22456.98,Healthcare,14.65,17.91
373d82c5-b4e0-48b9-8003-639da3c7483d,ca16f71f-ccb0-4c0b-9597-f02ab64d2b6b,ETFs,19019.88,Retail,2.47,12.3
33607195-d11b-4f7b-8315-ba0a3efaab03,ca16f71f-ccb0-4c0b-9597-f02ab64d2b6b,Cryptocurrency,11903.45,Retail,7.92,-0.11
09d1b988-570f-4dbb-b09e-d1aa785ecb2c,ca16f71f-ccb0-4c0b-9597-f02ab64d2b6b,Mutual Funds,34623.79,Finance,13.3,13.91
2a39d256-3e25-491d-b1c0-c6d0d244d7b4,d8ca751e-d454-4835-9ef6-035b4766774d,Government Bonds,1930.49,Manufacturing,9.79,8.09
71d867d3-7f7e-4924-abc2-4650e69d9c9f,d8ca751e-d454-4835-9ef6-035b4766774d,Mutual Funds,5152.7,Technology,4.54,19.73
1bdb20ed-b120-46ab-aada-5208858f6f92,d8ca751e-d454-4835-9ef6-035b4766774d,Real Estate Investment Trust,19286.93,Energy,4.9,4.53
af17e256-c4ba-49fb-95a7-f1d32c6f6a53,561ce801-b2c2-4ae4-a645-dfcbb0ffb0ac,Bonds,34790.95,Technology,7.73,2.53
