transaction_id,account_id,transaction_type,transaction_amount,currency,transaction_date
e69870a9-2b63-4ede-97e0-ddb68255c6ee,7212e962-e2d0-421d-9761-33e6a1d4e9cf,Sale,8790.69,SGD,2023-08-12
99a78cb9-6b29-4cc9-8c45-93bb25fa5b95,5758481a-b5c2-4f4e-85b4-13eb041f949b,Deposit,4572.17,SYP,2024-04-21
4a4be1ed-a487-4e2d-999d-cece542c6b0a,82d8107a-9cb5-45f5-aded-103181572459,Transfer,4914.22,VND,2023-06-13
9b3489fa-953a-43ed-90ae-8a5dacb34e6b,5758481a-b5c2-4f4e-85b4-13eb041f949b,Purchase,7778.35,MRO,2024-10-12
5746659d-9a88-4b51-ac74-b5df9a7a027b,037a5604-a50b-4cae-85cf-90963f46aee1,Deposit,9337.2,PYG,2024-03-27
1194e759-a5b8-4cf6-a4b4-13496e87ead5,24ec2d6e-1cb2-4edd-a1ee-771b8cd79ffd,Dividend Reinvestment,934.95,KWD,2024-09-26
0d9740ee-6561-47c8-9642-ff7735f00819,c119a268-15a2-4215-8096-e4cd93a06298,Deposit,3842.23,GIP,2024-01-10
5dc80ef2-21bb-4938-8258-53d221c50233,a7186863-e0f4-44fc-bef4-484eae8a819b,Deposit,8950.2,NAD,2024-01-28
66c0a228-cfee-43dc-822d-60dc70c82dba,83ef0726-d4ff-4cfd-97eb-52f0c4b696b4,Withdrawal,111.89,SGD,2023-06-01
3ecc4556-4254-48da-84a9-e4d7d7c65865,f1e98a77-17e5-46ed-960a-a972e034c9de,Withdrawal,3135.1,CHF,2023-02-21
1be4200d-de99-4b68-bf8b-fdc7d86d234e,9a807551-fe4e-4058-9df7-088c478017a5,Sale,9381.39,BYR,2023-08-09
141bedd0-7738-4423-8469-e57f39e9e2fd,f536f249-bf0d-4164-a2b4-c50aab20391a,Deposit,7242.42,TOP,2023-03-28
8328ac5e-52ce-488f-8c75-653cc2945550,c072fd1e-cb09-4486-819e-3bd35a98306a,Transfer,5600.12,TZS,2024-03-01
ed181677-0e76-46d1-9bd7-47fdf1484c6c,b61072de-b475-4370-a9a8-3b9251a8c6a4,Withdrawal,3737.48,BSD,2024-11-14
61f6e4f0-b4f7-4cba-9933-33af8c0c2746,1935a904-e6a8-49a7-b509-58ad59055d08,Purchase,2908.4,RSD,2024-10-30
206df0a9-71a8-4e6a-b9f1-ae07658fa0a6,74943b7d-b72b-4630-bcf5-81299002d90f,Purchase,5139.9,FJD,2024-08-24
5604d9c8-5200-436d-b8dc-093678f1a9ca,f269c1a8-23b1-42e4-be9d-6d0c33d43a9c,Deposit,4240.26,AFN,2023-05-31
08ba741f-5b14-4cd2-9134-6548f279767d,f2f4ad5f-e2e2-43d1-ba60-f9e5faf84790,Sale,5241.11,LYD,2024-01-23
ebef3933-a9b9-4d0f-86b5-8f0fc621afd4,e4537de7-cc2c-4ab5-936f-be0cfd38db58,Transfer,4159.27,IQD,2024-09-09
4bd85196-6241-496c-b5a5-ecd551eaff40,9a807551-fe4e-4058-9df7-088c478017a5,Deposit,7723.33,HRK,2022-12-30
296d89df-61d6-40b2-85c8-673da9485549,b1218406-6c1b-4db3-8ee5-b29deda6afb1,Purchase,3140.26,RON,2024-02-11
017eda1a-fc63-4912-8ccd-73cc810d6472,7c75b9ac-59a8-4dc2-9840-26e82cc32cd4,Withdrawal,2780.82,COP,2024-05-20
8a19808c-a99d-4d5e-9bb6-c70500012b05,f536f249-bf0d-4164-a2b4-c50aab20391a,Withdrawal,3044.62,IRR,2024-10-04
